cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555640299,FR,FR,Les Etangs De Machecourt,,https://cen-hautsdefrance.org/les-etangs-de-machecourt
555546998,FR,FR,Les Prairies De Condren - Beautor,,https://cen-hautsdefrance.org/les-prairies-de-condren-beautor
555547007,FR,FR,Les Prairies De Quierzy,,https://cen-hautsdefrance.org/les-prairies-de-quierzy-0
555547046,FR,FR,Les Prairies Inondables De Noyon,2004,"https://cen-hautsdefrance.org/les-prairies-inondables-de-noyon <- part of Moyenne Vallee de LOise, est in 2004: https://eunis.eea.europa.eu/sites/FR2210104"
555640297,FR,FR,Rnn - Les Landes De Versigny,1995,https://cen-hautsdefrance.org/rnn-les-landes-de-versigny and https://www.reserves-naturelles.org/landes-de-versigny confirmed 2x
555640249,FR,FR,Les Marais D'Epagne-Epagnette,2008,https://cen-hautsdefrance.org/sites/default/files/fichiers/livret_mvs_low.pdf
555640103,FR,FR,Zone Humide De Crosagny-Beaumont-Braille,,https://cen-hautsdefrance.org/sites/default/files/fichiers/plaq_monchy.pdf
555640326,FR,FR,Ile Garaud (L'),,https://centrederessources-loirenature.com/sites/default/files/fichiers/020_sabliere_ilegaraud_2013.pdf
555546596,FR,FR,Prairie Du Fouzon,1989,https://conservatoiresites41.com/les-sites-preserves/les-sites-faune-et-flore/42-les-prairies-du-fouzon
555640253,FR,FR,Les Carrieres De Mahy Et Sur Saudraies,,https://docplayer.fr/10794076-Connaissance-preservation-gestion-et-valorisation-du-patrimoine-naturel-de-la-region-picardie.html
555546694,FR,FR,Vallee Du Fossat,2000,https://ens.puy-de-dome.fr/les-ens/vallee-du-fossat.html
555546842,FR,FR,La Champagne A Menonville,,https://eunis.eea.europa.eu/sites/555546842
555546887,FR,FR,Pelouses De La Cote Raide,,https://eunis.eea.europa.eu/sites/555546887
555547063,FR,FR,Marais De Billieme,,https://eunis.eea.europa.eu/sites/555547063
555639962,FR,FR,Untermamberg,,https://eunis.eea.europa.eu/sites/555639962
555640451,FR,FR,Val D'Allier- Le Meplan,,https://eunis.eea.europa.eu/sites/555640451
555640606,FR,FR,Marais De Vittoncourt,1998,https://eunis.eea.europa.eu/sites/FR4100214
555640646,FR,FR,Les Cerneux-Gourinots,2005,https://eunis.eea.europa.eu/sites/FR4301287
555640393,FR,FR,Chaumes Boissieres,2002,https://eunis.eea.europa.eu/sites/FR5400410
555546962,FR,FR,Chaumes De Sechebec,2002,https://eunis.eea.europa.eu/sites/FR5400435
555640403,FR,FR,Landes De Cadeuil,2002,https://eunis.eea.europa.eu/sites/FR5400465
555640374,FR,FR,Bois De L'Hospice,2019,https://eunis.eea.europa.eu/sites/FR5412017#tab-designations
555640638,FR,FR,Etang De Marcenay,2016,https://fr.wikipedia.org/wiki/%C3%89tang_de_Marcenay
555546961,FR,FR,Bois Des Mornards,,https://fr.wikipedia.org/wiki/Bois_des_Mornards
555640346,FR,FR,Reserve Naturelle Regionale Du Marais Des Trous De Leu,2014,https://fr.wikipedia.org/wiki/R%C3%A9serve_naturelle_r%C3%A9gionale_du_marais_les_trous_de_Leu
555640146,FR,FR,Tourbiere Du Longeyroux,1986,https://fr.wikipedia.org/wiki/Tourbi%C3%A8re_du_Long%C3%A9roux
555640427,FR,FR,Tourbieres De Nevache,,https://inpn.mnhn.fr/espace/protege/FR1504300
555640292,FR,FR,Les Communaux De Royaucourt-Et-Chailvet,,https://inpn.mnhn.fr/espace/protege/FR1504439
555640378,FR,FR,Coteaux Et Carrieres D'Ensoulesse,,https://inpn.mnhn.fr/espace/protege/FR3800394 ... maybe 2005?
555547083,FR,FR,Chateau-Le-Bois,2009,https://inpn.mnhn.fr/site/natura2000/FR4301301
555640404,FR,FR,Marais De La Seudre,2003,https://inpn.mnhn.fr/site/natura2000/FR5400432
555640366,FR,FR,Val D'Egray - Citerne De Sainte-Ouenne,2007,https://inpn.mnhn.fr/site/natura2000/FR5402011 Or maybe 2015? https://inpn.mnhn.fr/site/natura2000/FR5402011
555547053,FR,FR,Mare De Lanau,,https://inpn.mnhn.fr/zone/znieff/930012411/tab/commentaires
555547072,FR,FR,Les Delaisses De L'Isere,,https://journals.openedition.org/geocarrefour/7672
